Date,Open,High,Low,Close,Change(Pips),Change(%)
2021-07-04,1787.22,1787.73,1785.0,1786.39,-83.0,-0.05
2021-07-05,1786.68,1794.0,1783.8,1791.15,447.0,0.25
2021-07-06,1790.85,1814.89,1789.89,1795.68,483.0,0.27
2021-07-07,1795.28,1809.5,1793.41,1803.22,794.0,0.44
2021-07-08,1803.29,1818.0,1793.9,1803.75,46.0,0.03
2021-07-09,1803.87,1812.38,1796.53,1807.89,402.0,0.22
2021-07-10,1805.965,1810.38,1801.0149999999999,1807.065,110.0,0.06
2021-07-11,1808.06,1808.38,1805.5,1806.24,-182.0,-0.1
2021-07-12,1806.32,1809.43,1791.84,1806.95,63.0,0.03
2021-07-13,1807.59,1816.67,1799.19,1805.82,-177.0,-0.1
2021-07-14,1805.91,1829.71,1804.22,1826.23,2032.0,1.11
2021-07-15,1826.1,1833.66,1820.24,1829.43,333.0,0.18
2021-07-16,1829.34,1831.23,1809.31,1811.64,-1770.0,-0.98
2021-07-17,1820.5749999999998,1823.52,1809.8049999999998,1813.6550000000002,-692.0,-0.385
2021-07-18,1811.81,1815.81,1810.3,1815.67,386.0,0.21
2021-07-19,1815.01,1817.24,1794.9,1811.17,-384.0,-0.21
2021-07-20,1811.59,1824.67,1804.84,1809.56,-203.0,-0.11
2021-07-21,1809.57,1813.69,1794.58,1802.44,-713.0,-0.4
2021-07-22,1802.49,1808.45,1792.51,1807.22,473.0,0.26
2021-07-23,1807.07,1810.12,1791.22,1801.3,-577.0,-0.32
2021-07-24,1804.2350000000001,1806.32,1795.4099999999999,1800.69,-354.5,-0.195
2021-07-25,1801.4,1802.52,1799.6,1800.08,-132.0,-0.07
2021-07-26,1799.97,1811.27,1795.8,1797.46,-251.0,-0.14
2021-07-27,1797.4,1805.06,1793.29,1800.0,260.0,0.14
2021-07-28,1799.69,1810.22,1794.37,1809.24,955.0,0.53
2021-07-29,1809.38,1832.55,1808.47,1830.07,2069.0,1.13
2021-07-30,1829.79,1831.12,1808.9,1812.55,-1724.0,-0.95
2021-07-31,1821.865,1823.1,1810.4050000000002,1813.1100000000001,-875.5,-0.48
2021-08-01,1813.94,1815.08,1811.91,1813.67,-27.0,-0.01
2021-08-02,1813.5,1819.47,1805.6,1812.41,-109.0,-0.06
2021-08-03,1812.52,1814.45,1807.25,1810.94,-158.0,-0.09
2021-08-04,1810.89,1831.48,1806.41,1811.69,80.0,0.04
2021-08-05,1811.45,1814.79,1798.03,1803.28,-817.0,-0.45
2021-08-06,1803.25,1803.69,1758.3,1763.29,-3996.0,-2.27
2021-08-07,1783.415,1783.93,1711.25,1740.53,-4288.5,-2.4699999999999998
2021-08-08,1763.58,1764.17,1664.2,1717.77,-4581.0,-2.67
2021-08-09,1717.82,1752.1,1706.47,1731.29,1347.0,0.78
2021-08-10,1731.89,1738.14,1717.74,1726.81,-508.0,-0.29
2021-08-11,1726.8,1754.07,1723.7,1752.11,2531.0,1.44
2021-08-12,1752.36,1758.06,1741.0,1753.59,123.0,0.07
2021-08-13,1753.51,1779.8,1751.5,1778.83,2532.0,1.42
2021-08-14,1766.47,1779.96,1764.75,1778.615,1214.5,0.6799999999999999
2021-08-15,1779.43,1780.12,1778.0,1778.4,-103.0,-0.06
2021-08-16,1778.39,1789.11,1770.3,1787.32,893.0,0.5
2021-08-17,1787.5,1795.22,1780.46,1785.97,-153.0,-0.09
2021-08-18,1786.04,1793.67,1777.44,1787.5,146.0,0.08
2021-08-19,1787.0,1791.68,1773.51,1778.74,-826.0,-0.46
2021-08-20,1779.08,1788.21,1778.4,1781.38,230.0,0.13
2021-08-21,1780.07,1785.245,1777.75,1779.835,-23.5,-0.015000000000000013
2021-08-22,1781.06,1782.28,1777.1,1778.29,-277.0,-0.16
2021-08-23,1778.29,1806.21,1776.1,1804.62,2633.0,1.46
2021-08-24,1804.8,1809.32,1800.19,1801.69,-311.0,-0.17
2021-08-25,1801.62,1802.56,1783.47,1791.65,-997.0,-0.56
2021-08-26,1791.35,1798.18,1780.12,1793.56,221.0,0.12
2021-08-27,1793.27,1819.21,1787.81,1817.49,2422.0,1.33
2021-08-28,1805.0549999999998,1819.1100000000001,1801.8600000000001,1818.02,1296.5,0.7100000000000001
2021-08-29,1816.84,1819.01,1815.91,1818.55,171.0,0.09
2021-08-30,1818.61,1822.89,1807.1,1810.47,-814.0,-0.45
2021-08-31,1810.31,1819.13,1801.9,1814.32,401.0,0.22
2021-09-01,1814.49,1819.79,1807.71,1813.02,-147.0,-0.08
2021-09-02,1813.03,1817.05,1805.11,1809.28,-375.0,-0.21
2021-09-03,1809.28,1833.83,1808.2,1826.82,1754.0,0.96
2021-09-04,1818.395,1831.945,1817.6,1827.3049999999998,891.0,0.49
2021-09-05,1827.51,1830.06,1827.0,1827.79,28.0,0.02
2021-09-06,1827.79,1828.37,1820.8,1823.69,-410.0,-0.22
2021-09-07,1823.41,1827.17,1792.11,1795.48,-2793.0,-1.56
2021-09-08,1795.46,1801.93,1782.71,1790.74,-472.0,-0.26
2021-09-09,1790.48,1800.69,1783.81,1794.72,424.0,0.24
2021-09-10,1794.67,1803.7,1786.9,1787.27,-740.0,-0.41
2021-09-11,1791.055,1796.595,1786.65,1787.175,-388.0,-0.215
2021-09-12,1787.44,1789.49,1786.4,1787.08,-36.0,-0.02
2021-09-13,1791.47,1797.93,1789.71,1792.85,138.0,0.08
2021-09-14,1792.3,1808.41,1782.5,1803.71,1141.0,0.63
2021-09-15,1803.78,1806.44,1789.8,1794.9,-888.0,-0.49
2021-09-16,1794.67,1796.13,1745.93,1753.69,-4098.0,-2.34
2021-09-17,1753.92,1767.19,1747.44,1754.1,18.0,0.01
2021-09-18,1754.145,1761.1399999999999,1749.31,1754.0149999999999,-13.0,-0.01
2021-09-19,1754.37,1755.09,1751.18,1753.93,-44.0,-0.03
2021-09-20,1754.17,1766.66,1742.51,1764.9,1073.0,0.61
2021-09-21,1764.52,1781.65,1758.02,1774.82,1030.0,0.58
2021-09-22,1774.83,1787.03,1765.24,1766.99,-784.0,-0.44
2021-09-23,1767.06,1776.26,1738.55,1745.49,-2157.0,-1.24
2021-09-24,1746.27,1757.53,1740.21,1750.45,418.0,0.24
2021-09-25,1748.2849999999999,1754.145,1743.905,1749.885,160.0,0.09
2021-09-26,1750.3,1750.76,1747.6,1749.32,-98.0,-0.06
2021-09-27,1749.29,1760.67,1744.91,1751.04,175.0,0.1
2021-09-28,1750.66,1754.21,1727.7,1735.13,-1553.0,-0.9
2021-09-29,1735.16,1745.53,1721.56,1728.67,-649.0,-0.38
2021-09-30,1728.88,1763.69,1722.1,1752.89,2401.0,1.37
2021-10-01,1753.18,1763.95,1749.68,1760.73,755.0,0.43
2021-10-02,1756.44,1764.53,1754.69,1761.85,541.0,0.31
2021-10-03,1759.7,1765.11,1759.7,1762.97,327.0,0.19
2021-10-04,1762.95,1770.29,1747.4,1768.06,511.0,0.29
2021-10-05,1767.9,1768.2,1749.06,1759.17,-873.0,-0.5
2021-10-06,1759.22,1765.07,1746.04,1764.01,479.0,0.27
2021-10-07,1763.86,1766.84,1751.95,1754.93,-893.0,-0.51
2021-10-08,1754.69,1781.32,1753.23,1756.87,218.0,0.12
2021-10-09,1755.865,1769.4850000000001,1752.145,1755.335,-53.0,-0.03
2021-10-10,1757.04,1757.65,1751.06,1753.8,-324.0,-0.18
2021-10-11,1753.2,1760.92,1750.06,1753.12,-8.0,0.0
2021-10-12,1753.05,1769.01,1750.4,1760.24,719.0,0.41
2021-10-13,1760.18,1795.64,1758.41,1791.6,3142.0,1.75
2021-10-14,1791.7,1800.17,1786.5,1794.79,309.0,0.17
2021-10-15,1795.18,1796.4,1764.73,1767.28,-2790.0,-1.58
2021-10-16,1781.275,1784.165,1764.665,1769.19,-1208.5,-0.685
2021-10-17,1767.37,1771.93,1764.6,1771.1,373.0,0.21
2021-10-18,1770.83,1771.99,1759.91,1763.78,-705.0,-0.4
2021-10-19,1763.78,1784.83,1762.9,1768.56,478.0,0.27
2021-10-20,1768.68,1788.23,1766.0,1781.5,1282.0,0.72
2021-10-21,1781.39,1789.2,1776.43,1784.63,324.0,0.18
2021-10-22,1784.77,1813.74,1783.46,1791.7,693.0,0.39
2021-10-23,1788.775,1804.085,1787.68,1792.98,420.5,0.23500000000000001
2021-10-24,1792.78,1794.43,1791.9,1794.26,148.0,0.08
2021-10-25,1794.43,1809.87,1792.23,1807.71,1328.0,0.73
2021-10-26,1807.93,1808.01,1781.35,1793.4,-1453.0,-0.81
2021-10-27,1793.67,1798.95,1783.51,1796.64,297.0,0.17
2021-10-28,1796.36,1810.09,1792.5,1799.61,325.0,0.18
2021-10-29,1799.28,1799.96,1772.34,1782.77,-1651.0,-0.93
2021-10-30,1791.2150000000001,1791.71,1775.57,1781.24,-997.5,-0.56
2021-10-31,1783.15,1783.46,1778.8,1779.71,-344.0,-0.19
2021-11-01,1780.44,1795.64,1779.99,1791.89,1145.0,0.64
2021-11-02,1792.08,1796.4,1785.8,1786.87,-521.0,-0.29
2021-11-03,1786.96,1787.57,1760.1,1776.94,-1002.0,-0.56
2021-11-04,1777.34,1798.62,1770.71,1791.16,1382.0,0.77
2021-11-05,1791.4,1818.25,1785.84,1816.92,2552.0,1.4
2021-11-06,1804.6550000000002,1818.08,1799.8249999999998,1816.43,1177.5,0.6449999999999999
2021-11-07,1817.91,1817.91,1813.81,1815.94,-197.0,-0.11
2021-11-08,1816.35,1826.24,1812.39,1824.35,800.0,0.44
2021-11-09,1824.64,1832.58,1818.7,1829.74,510.0,0.28
2021-11-10,1829.73,1868.14,1822.0,1848.76,1903.0,1.03
2021-11-11,1848.25,1865.78,1842.72,1862.23,1398.0,0.75
2021-11-12,1862.03,1868.53,1845.08,1864.14,211.0,0.11
2021-11-13,1862.7649999999999,1868.095,1854.29,1864.845,208.0,0.11
2021-11-14,1863.5,1867.66,1863.5,1865.55,205.0,0.11
2021-11-15,1865.11,1870.04,1856.14,1862.36,-275.0,-0.15
2021-11-16,1862.08,1877.06,1848.9,1850.09,-1199.0,-0.65
2021-11-17,1850.32,1867.79,1849.42,1866.43,1611.0,0.86
2021-11-18,1866.53,1871.01,1855.32,1859.38,-715.0,-0.38
2021-11-19,1859.62,1864.78,1843.31,1845.54,-1408.0,-0.76
2021-11-20,1855.7833333333333,1859.4033333333334,1829.4733333333334,1833.31,-2247.3333333333335,-1.23
2021-11-21,1851.9466666666665,1854.0266666666666,1815.6366666666665,1821.08,-3086.666666666667,-1.7
2021-11-22,1848.11,1848.65,1801.8,1808.85,-3926.0,-2.17
2021-11-23,1808.87,1812.04,1781.96,1790.39,-1848.0,-1.03
2021-11-24,1790.97,1796.22,1778.9,1789.27,-170.0,-0.1
2021-11-25,1789.31,1795.08,1787.5,1791.69,238.0,0.13
2021-11-26,1792.58,1814.95,1781.58,1791.61,-97.0,-0.05
2021-11-27,1792.69,1805.1,1779.3449999999998,1793.4299999999998,74.0,0.045
2021-11-28,1792.8,1795.25,1777.11,1795.25,245.0,0.14
2021-11-29,1794.7,1799.3,1781.5,1786.63,-807.0,-0.45
2021-11-30,1786.59,1808.64,1769.8,1773.38,-1321.0,-0.74
2021-12-01,1773.47,1793.19,1772.64,1781.83,836.0,0.47
2021-12-02,1781.21,1781.77,1761.81,1768.86,-1235.0,-0.7
2021-12-03,1769.06,1786.1,1766.07,1782.38,1332.0,0.75
2021-12-04,1772.8566666666666,1785.61,1769.2833333333333,1781.8233333333335,896.6666666666667,0.5033333333333333
2021-12-05,1776.6533333333334,1785.1200000000001,1772.4966666666667,1781.2666666666667,461.33333333333337,0.25666666666666665
2021-12-06,1780.45,1784.63,1775.71,1780.71,26.0,0.01
2021-12-07,1780.89,1787.49,1772.26,1784.61,372.0,0.21
2021-12-08,1784.48,1792.93,1779.4,1783.59,-89.0,-0.05
2021-12-09,1783.14,1787.25,1773.74,1775.99,-715.0,-0.4
2021-12-10,1776.2,1789.02,1769.76,1782.89,669.0,0.38
2021-12-11,1779.81,1789.6833333333334,1773.81,1783.8133333333335,400.3333333333333,0.22666666666666666
2021-12-12,1783.42,1790.3466666666666,1777.8600000000001,1784.7366666666667,131.66666666666663,0.0733333333333333
2021-12-13,1787.03,1791.01,1781.91,1785.66,-137.0,-0.08
2021-12-14,1785.57,1789.51,1765.9,1772.27,-1330.0,-0.75
2021-12-15,1772.28,1781.34,1755.94,1779.54,726.0,0.41
2021-12-16,1779.11,1799.51,1775.48,1798.58,1947.0,1.08
2021-12-17,1799.07,1813.91,1795.88,1797.47,-160.0,-0.09
2021-12-18,1798.435,1807.635,1796.8400000000001,1798.6950000000002,26.0,0.015
2021-12-19,1797.8,1801.36,1797.8,1799.92,212.0,0.12
2021-12-20,1800.22,1804.01,1788.23,1791.11,-911.0,-0.51
2021-12-21,1791.12,1800.38,1784.5,1790.47,-65.0,-0.04
2021-12-22,1790.33,1804.73,1785.5,1803.34,1301.0,0.72
2021-12-23,1803.61,1810.66,1799.12,1808.38,477.0,0.26
2021-12-24,1808.4,1812.03,1804.3,1807.99,-41.0,-0.02
2021-12-25,1809.15,1810.9650000000001,1804.915,1807.1950000000002,-195.5,-0.10500000000000001
2021-12-26,1809.9,1809.9,1805.53,1806.4,-350.0,-0.19
2021-12-27,1806.98,1813.39,1803.28,1812.03,505.0,0.28
2021-12-28,1812.37,1820.07,1804.6,1806.27,-610.0,-0.34
2021-12-29,1805.64,1807.63,1788.8,1804.25,-139.0,-0.08
2021-12-30,1804.32,1817.09,1795.8,1815.27,1095.0,0.6
2021-12-31,1815.39,1830.05,1814.1,1828.29,1290.0,0.71
2022-01-01,1822.225,1830.695,1820.85,1828.21,598.5,0.32999999999999996
2022-01-02,1829.06,1831.34,1827.6,1828.13,-93.0,-0.05
2022-01-03,1828.11,1831.5,1798.16,1803.85,-2426.0,-1.34
2022-01-04,1803.66,1816.48,1798.71,1813.61,995.0,0.55
2022-01-05,1813.84,1829.6,1808.17,1810.04,-380.0,-0.21
2022-01-06,1810.05,1811.21,1786.35,1791.37,-1868.0,-1.04
2022-01-07,1791.11,1798.38,1786.55,1795.89,478.0,0.27
2022-01-08,1793.96,1797.595,1790.175,1795.495,153.5,0.08500000000000002
2022-01-09,1796.81,1796.81,1793.8,1795.1,-171.0,-0.1
2022-01-10,1794.85,1802.47,1789.91,1801.24,639.0,0.35
2022-01-11,1801.36,1823.05,1801.16,1820.6,1924.0,1.06
2022-01-12,1820.35,1827.9,1814.11,1825.12,477.0,0.26
2022-01-13,1825.24,1827.85,1812.36,1820.83,-441.0,-0.24
2022-01-14,1820.61,1828.84,1813.93,1816.7,-391.0,-0.22
2022-01-15,1818.87,1826.8999999999999,1814.1866666666667,1817.4966666666667,-137.33333333333334,-0.07999999999999999
2022-01-16,1817.13,1824.96,1814.4433333333334,1818.2933333333333,116.33333333333331,0.060000000000000026
2022-01-17,1815.39,1823.02,1814.7,1819.09,370.0,0.2
2022-01-18,1818.93,1822.63,1805.7,1814.07,-486.0,-0.27
2022-01-19,1814.22,1843.16,1810.12,1838.5,2428.0,1.32
2022-01-20,1838.61,1847.58,1835.94,1838.84,23.0,0.01
2022-01-21,1838.61,1842.85,1828.5,1833.88,-473.0,-0.26
2022-01-22,1836.3049999999998,1839.955,1830.02,1834.22,-208.5,-0.11499999999999999
2022-01-23,1834.0,1837.06,1831.54,1834.56,56.0,0.03
2022-01-24,1834.12,1843.9,1827.97,1843.3,918.0,0.5
2022-01-25,1843.43,1853.65,1834.96,1849.38,595.0,0.32
2022-01-26,1849.28,1849.41,1815.11,1821.91,-2737.0,-1.5
2022-01-27,1821.73,1821.73,1791.3,1797.04,-2469.0,-1.37
2022-01-28,1796.1,1799.34,1780.01,1791.3,-480.0,-0.27
2022-01-29,1793.4,1795.4299999999998,1784.0549999999998,1790.48,-292.0,-0.165
2022-01-30,1790.7,1791.52,1788.1,1789.66,-104.0,-0.06
2022-01-31,1788.89,1799.61,1785.4,1797.81,892.0,0.5
2022-02-01,1797.5,1808.72,1795.1,1800.49,299.0,0.17
2022-02-02,1800.49,1810.72,1794.52,1807.62,713.0,0.39
2022-02-03,1807.64,1808.9,1788.2,1805.53,-211.0,-0.12
2022-02-04,1805.5,1809.73,1802.42,1807.47,197.0,0.11
2022-02-05,1806.1,1810.565,1804.56,1808.795,269.5,0.15
2022-02-06,1806.7,1811.4,1806.7,1810.12,342.0,0.19
2022-02-07,1810.02,1823.34,1808.58,1821.86,1184.0,0.65
2022-02-08,1821.81,1828.68,1815.32,1825.76,395.0,0.22
2022-02-09,1825.69,1835.59,1824.3,1832.52,683.0,0.37
2022-02-10,1832.41,1841.91,1825.55,1826.88,-553.0,-0.3
2022-02-11,1826.57,1864.99,1821.6,1858.28,3171.0,1.71
2022-02-12,1842.635,1863.1599999999999,1839.005,1858.995,1636.0,0.88
2022-02-13,1858.7,1861.33,1856.41,1859.71,101.0,0.05
2022-02-14,1859.26,1873.84,1850.92,1870.92,1166.0,0.62
2022-02-15,1871.04,1879.36,1845.06,1852.8,-1824.0,-0.98
2022-02-16,1853.04,1872.49,1849.8,1869.59,1655.0,0.89
2022-02-17,1869.8,1900.79,1867.1,1899.83,3003.0,1.58
2022-02-18,1899.87,1902.5,1886.65,1897.24,-263.0,-0.14
2022-02-19,1898.34,1904.44,1891.73,1900.9299999999998,259.0,0.135
2022-02-20,1896.81,1906.38,1896.81,1904.62,781.0,0.41
2022-02-21,1904.77,1913.78,1887.46,1909.24,447.0,0.23
2022-02-22,1909.49,1913.64,1891.75,1898.04,-1145.0,-0.6
2022-02-23,1898.32,1911.48,1889.57,1910.6,1228.0,0.64
2022-02-24,1910.77,1973.64,1880.63,1906.06,-471.0,-0.25
2022-02-25,1906.36,1921.06,1882.7,1889.02,-1734.0,-0.92
2022-02-26,1897.4899999999998,1923.78,1885.505,1899.205,171.5,0.08500000000000008
2022-02-27,1888.62,1926.5,1888.31,1909.39,2077.0,1.09
